Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
146.0,420.0,231.0,0.55,16.8,1733.0,0.6,0.4,60.0,58.93
49.0,380.0,190.0,0.5,15.2,1814.0,0.5,0.5,60.0,64.93
133.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,60.0,59.86
223.0,410.0,246.0,0.6,16.4,1728.0,0.7,0.3,60.0,27.16
209.0,380.0,190.0,0.5,15.2,1814.0,0.7,0.3,60.0,42.88
52.0,390.0,175.5,0.45,15.6,1818.5,0.5,0.5,60.0,59.73
53.0,390.0,195.0,0.5,15.6,1799.0,0.5,0.5,60.0,64.76
21.0,410.0,205.0,0.5,16.4,1769.0,0.5,0.5,25.0,60.28
228.0,430.0,193.5,0.45,17.2,1760.5,0.7,0.3,60.0,39.8
8.0,380.0,171.0,0.45,15.2,1833.0,0.5,0.5,25.0,55.85
