Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
126.0,370.0,203.5,0.55,14.8,1810.5,0.6,0.4,60.0,54.32
216.0,400.0,180.0,0.45,16.0,1804.0,0.7,0.3,60.0,40.78
184.0,420.0,189.0,0.45,16.8,1775.0,0.7,0.3,25.0,36.69
61.0,410.0,205.0,0.5,16.4,1769.0,0.5,0.5,60.0,64.43
206.0,370.0,203.5,0.55,14.8,1810.5,0.7,0.3,60.0,33.49
45.0,370.0,185.0,0.5,14.8,1829.0,0.5,0.5,60.0,65.09
120.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,60.0,55.57
171.0,380.0,228.0,0.6,15.2,1776.0,0.7,0.3,25.0,25.5
6.0,370.0,203.5,0.55,14.8,1810.5,0.5,0.5,25.0,50.73
197.0,450.0,225.0,0.5,18.0,1709.0,0.7,0.3,25.0,38.96
