Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
226.0,420.0,231.0,0.55,16.8,1733.0,0.7,0.3,60.0,31.24
222.0,410.0,225.5,0.55,16.4,1748.5,0.7,0.3,60.0,31.67
116.0,450.0,202.5,0.45,18.0,1731.5,0.6,0.4,25.0,45.88
32.0,440.0,198.0,0.45,17.6,1746.0,0.5,0.5,25.0,51.9
50.0,380.0,209.0,0.55,15.2,1795.0,0.5,0.5,60.0,52.46
78.0,450.0,247.5,0.55,18.0,1686.5,0.5,0.5,60.0,54.38
95.0,390.0,234.0,0.6,15.6,1760.0,0.6,0.4,25.0,46.35
139.0,400.0,240.0,0.6,16.0,1744.0,0.6,0.4,60.0,54.87
135.0,390.0,234.0,0.6,15.6,1760.0,0.6,0.4,60.0,53.96
92.0,390.0,175.5,0.45,15.6,1818.5,0.6,0.4,25.0,44.21
