Formulation,Compressive Strength
"The formulation is Powderkg = 380, wc = 0.55, materials = 0.7/0.3, curing = Heat curing",33.03
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",59.86
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.5/0.5, curing = Ambient curing.",56.36
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.2
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",62.29
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",22.4
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.49
"The formulation is Powderkg = 370, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",34.31
"The formulation is Powderkg = 380, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",59.03
