Formulation,Compressive Strength
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Heat curing",43.19
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing",45.02
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.16
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",50.9
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",39.8
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",57.12
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",29.46
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",60.68
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.18
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.54
