Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",56.56
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.66
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",58.93
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",58.98
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",51.04
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",27.16
"////Certainly! Here is a unique suggestion for a concrete formulation that has not been validated before:

The formulation is Powderkg = 380, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",46.12
"Certainly! Here is a unique suggestion for a concrete formulation that has not been validated before:

The formulation is Powderkg = 390, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.76
"Certainly! Here is an even better suggestion for a unique concrete formulation:

The formulation is Powderkg = 360, wc = 0.45, materials = 0.5/0.5, curing = Ambient curing.",55.37
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",34.79
