Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",61.51
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing",36.69
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",51.98
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.96
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",57.75
"The formulation is Powderkg = 390, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",32.58
"The formulation is Powderkg = 380, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",59.98
"The formulation is Powderkg = 370, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",28.3
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",54.38
