Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
98.0,400.0,220.0,0.55,16.0,1764.0,0.6,0.4,25.0,45.38
22.0,410.0,225.5,0.55,16.4,1748.5,0.5,0.5,25.0,47.28
201.0,360.0,180.0,0.5,14.4,1844.0,0.7,0.3,60.0,42.56
221.0,410.0,205.0,0.5,16.4,1769.0,0.7,0.3,60.0,43.35
59.0,400.0,240.0,0.6,16.0,1744.0,0.5,0.5,60.0,50.41
141.0,410.0,205.0,0.5,16.4,1769.0,0.6,0.4,60.0,61.51
116.0,450.0,202.5,0.45,18.0,1731.5,0.6,0.4,25.0,45.88
86.0,370.0,203.5,0.55,14.8,1810.5,0.6,0.4,25.0,46.49
120.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,60.0,55.57
229.0,430.0,215.0,0.5,17.2,1739.0,0.7,0.3,60.0,43.84
