Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
33.0,440.0,220.0,0.5,17.6,1724.0,0.5,0.5,25.0,59.23
170.0,380.0,209.0,0.55,15.2,1795.0,0.7,0.3,25.0,29.43
161.0,360.0,180.0,0.5,14.4,1844.0,0.7,0.3,25.0,36.19
24.0,420.0,189.0,0.45,16.8,1775.0,0.5,0.5,25.0,56.86
80.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,25.0,43.32
1.0,360.0,180.0,0.5,14.4,1844.0,0.5,0.5,25.0,59.79
88.0,380.0,171.0,0.45,15.2,1833.0,0.6,0.4,25.0,43.58
207.0,370.0,222.0,0.6,14.8,1792.0,0.7,0.3,60.0,28.3
174.0,390.0,214.5,0.55,15.6,1779.5,0.7,0.3,25.0,28.6
129.0,380.0,190.0,0.5,15.2,1814.0,0.6,0.4,60.0,59.03
