Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
84.0,370.0,166.5,0.45,14.8,1847.5,0.6,0.4,25.0,42.95
24.0,420.0,189.0,0.45,16.8,1775.0,0.5,0.5,25.0,56.86
141.0,410.0,205.0,0.5,16.4,1769.0,0.6,0.4,60.0,61.51
126.0,370.0,203.5,0.55,14.8,1810.5,0.6,0.4,60.0,54.32
13.0,390.0,195.0,0.5,15.6,1799.0,0.5,0.5,25.0,60.08
186.0,420.0,231.0,0.55,16.8,1733.0,0.7,0.3,25.0,26.17
218.0,400.0,220.0,0.55,16.0,1764.0,0.7,0.3,60.0,32.12
91.0,380.0,228.0,0.6,15.2,1776.0,0.6,0.4,25.0,46.27
67.0,420.0,252.0,0.6,16.8,1712.0,0.5,0.5,60.0,49.44
11.0,380.0,228.0,0.6,15.2,1776.0,0.5,0.5,25.0,46.98
