Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
90.0,380.0,209.0,0.55,15.2,1795.0,0.6,0.4,25.0,46.12
9.0,380.0,190.0,0.5,15.2,1814.0,0.5,0.5,25.0,59.98
107.0,420.0,252.0,0.6,16.8,1712.0,0.6,0.4,25.0,46.57
228.0,430.0,193.5,0.45,17.2,1760.5,0.7,0.3,60.0,39.8
158.0,450.0,247.5,0.55,18.0,1686.5,0.6,0.4,60.0,54.38
118.0,450.0,247.5,0.55,18.0,1686.5,0.6,0.4,25.0,41.85
154.0,440.0,242.0,0.55,17.6,1702.0,0.6,0.4,60.0,55.82
150.0,430.0,236.5,0.55,17.2,1717.5,0.6,0.4,60.0,57.37
146.0,420.0,231.0,0.55,16.8,1733.0,0.6,0.4,60.0,58.93
159.0,450.0,270.0,0.6,18.0,1664.0,0.6,0.4,60.0,49.83
142.0,410.0,225.5,0.55,16.4,1748.5,0.6,0.4,60.0,58.06
114.0,440.0,242.0,0.55,17.6,1702.0,0.6,0.4,25.0,42.91
110.0,430.0,236.5,0.55,17.2,1717.5,0.6,0.4,25.0,43.71
106.0,420.0,231.0,0.55,16.8,1733.0,0.6,0.4,25.0,44.67
