Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
224.0,420.0,189.0,0.45,16.8,1775.0,0.7,0.3,60.0,40.41
174.0,390.0,214.5,0.55,15.6,1779.5,0.7,0.3,25.0,28.6
213.0,390.0,195.0,0.5,15.6,1799.0,0.7,0.3,60.0,43.03
197.0,450.0,225.0,0.5,18.0,1709.0,0.7,0.3,25.0,38.96
0.0,360.0,162.0,0.45,14.4,1862.0,0.5,0.5,25.0,55.37
1.0,360.0,180.0,0.5,14.4,1844.0,0.5,0.5,25.0,59.79
237.0,450.0,225.0,0.5,18.0,1709.0,0.7,0.3,60.0,44.49
157.0,450.0,225.0,0.5,18.0,1709.0,0.6,0.4,60.0,61.3
117.0,450.0,225.0,0.5,18.0,1709.0,0.6,0.4,25.0,50.69
153.0,440.0,220.0,0.5,17.6,1724.0,0.6,0.4,60.0,61.61
77.0,450.0,225.0,0.5,18.0,1709.0,0.5,0.5,60.0,61.9
2.0,360.0,198.0,0.55,14.4,1826.0,0.5,0.5,25.0,51.61
3.0,360.0,216.0,0.6,14.4,1808.0,0.5,0.5,25.0,46.68
4.0,370.0,166.5,0.45,14.8,1847.5,0.5,0.5,25.0,55.62
