Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.6/0.4, curing = Heat curing",56.56
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.18
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",55.78
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",26.17
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.6
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",41.15
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.35
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.49
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",51.04
