Formulation,Compressive Strength
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",58.93
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",61.9
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",35.76
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",55.78
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.18
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",32.59
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",53.79
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.5/0.5, curing = Ambient curing.",47.71
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",51.22
"The formulation is Powderkg = 430, WC = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.27
