Formulation,Compressive Strength
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",61.61
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",31.67
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.18
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",60.68
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",57.54
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",59.75
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",20.76
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",44.67
"Based on the previous results and taking into consideration the design rules and lab validations, the next suggestion for the best concrete formulation that maximizes compressive strength is:

The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.84
"Based on the previous results and incorporating the design rules and lab validations, the next unique suggestion for the best concrete formulation that maximizes compressive strength is:

The formulation is Powderkg = 420, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.28
