Formulation,Compressive Strength
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.7/0.3, curing = heat curing",31.24
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.6/0.4, curing = ambient curing.",48.75
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.5/0.5, curing = heat curing.",49.91
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = heat curing.",60.68
"Based on the previous suggestions and looking to improve the compressive strength, I propose the following formulation:

The formulation is Powderkg = 430, wc = 0.45, materials = 0.7/0.3, curing = ambient curing.",35.7
"Based on the feedback and the need for an even better formulation, I propose the following unique formulation:

The formulation is Powderkg = 400, wc = 0.55, materials = 0.6/0.4, curing = heat curing.",57.12
"Based on the previous suggestions and the goal of achieving an even better compressive strength, I propose the following unique formulation:

The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = heat curing.",44.18
"The formulation is Powderkg = 410, wc = 0.45, materials = 0.6/0.4, curing = ambient curing.",45.48
"Based on the previous suggestions and the goal of achieving an even better compressive strength, I propose the following unique formulation:

The formulation is Powderkg = 440, wc = 0.55, materials = 0.7/0.3, curing = heat curing.",33.95
"Based on the feedback and the goal of achieving an even better compressive strength, I propose the following unique formulation:

The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = heat curing.",29.46
