Formulation,Compressive Strength
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.6/0.4, curing = Heat curing",57.37
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing",38.16
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",58.98
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",59.86
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",31.67
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",49.59
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",28.65
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.5/0.5, curing = Ambient curing.",55.85
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",49.83
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.85
