Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing",54.97
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.61
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",32.59
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",49.91
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",44.67
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.78
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.43
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",49.83
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",38.27
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.6
