Formulation,Compressive Strength
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing",51.92
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.52
"The formulation is Powderkg = 410, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",45.48
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.5
"Sure! Based on the previous results and taking into consideration the design knowledge, I suggest the following formulation:

The formulation is Powderkg = 380, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",55.26
"Certainly! Based on the previous suggestions and incorporating the design knowledge, I propose the following formulation:

The formulation is Powderkg = 390, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.35
"Sure! I will provide you with a unique and unvalidated formulation that takes into consideration the design knowledge and aims to maximize compressive strength. Here's my suggestion:

The formulation is Powderkg = 400, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",58.98
"Certainly! Here's an unvalidated formulation that aims to further maximize compressive strength:

The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.18
"Certainly! Here's a unique and unvalidated formulation that takes into account the design knowledge and aims to further maximize compressive strength:

The formulation is Powderkg = 450, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",35.2
"Certainly! Here's an unvalidated formulation that takes into account the design knowledge and aims to maximize compressive strength:

The formulation is Powderkg = 410, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",58.29
