Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.6/0.4, curing = Heat curing",56.56
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.35
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",51.22
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",33.95
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.78
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",60.08
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",54.31
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",50.69
"The formulation is Powderkg = 440, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",34.86
