Formulation,Compressive Strength
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",60.68
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",26.95
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.5
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.5/0.5, curing = Ambient curing.",47.59
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",60.68
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.96
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.19
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",42.91
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",26.89
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",50.43
