Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",61.51
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.7/0.3, curing = Heat curing",31.24
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",60.68
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",35.7
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.5/0.5, curing = Ambient curing.",47.13
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.19
"The formulation is Powderkg = 370, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.6
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",49.59
"The formulation is Powderkg = 410, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",58.29
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
