Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
46.0,370.0,203.5,0.55,14.8,1810.5,0.5,0.5,60.0,52.93
218.0,400.0,220.0,0.55,16.0,1764.0,0.7,0.3,60.0,32.12
134.0,390.0,214.5,0.55,15.6,1779.5,0.6,0.4,60.0,56.19
58.0,400.0,220.0,0.55,16.0,1764.0,0.5,0.5,60.0,51.54
96.0,400.0,180.0,0.45,16.0,1804.0,0.6,0.4,25.0,44.85
133.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,60.0,59.86
121.0,360.0,180.0,0.5,14.4,1844.0,0.6,0.4,60.0,57.37
89.0,380.0,190.0,0.5,15.2,1814.0,0.6,0.4,25.0,47.91
152.0,440.0,198.0,0.45,17.6,1746.0,0.6,0.4,60.0,57.27
149.0,430.0,215.0,0.5,17.2,1739.0,0.6,0.4,60.0,61.95
