Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
98.0,400.0,220.0,0.55,16.0,1764.0,0.6,0.4,25.0,45.38
54.0,390.0,214.5,0.55,15.6,1779.5,0.5,0.5,60.0,52.0
71.0,430.0,258.0,0.6,17.2,1696.0,0.5,0.5,60.0,50.93
116.0,450.0,202.5,0.45,18.0,1731.5,0.6,0.4,25.0,45.88
78.0,450.0,247.5,0.55,18.0,1686.5,0.5,0.5,60.0,54.38
74.0,440.0,242.0,0.55,17.6,1702.0,0.5,0.5,60.0,53.2
38.0,450.0,247.5,0.55,18.0,1686.5,0.5,0.5,25.0,48.45
70.0,430.0,236.5,0.55,17.2,1717.5,0.5,0.5,60.0,51.92
34.0,440.0,242.0,0.55,17.6,1702.0,0.5,0.5,25.0,47.71
66.0,420.0,231.0,0.55,16.8,1733.0,0.5,0.5,60.0,50.64
30.0,430.0,236.5,0.55,17.2,1717.5,0.5,0.5,25.0,47.15
26.0,420.0,231.0,0.55,16.8,1733.0,0.5,0.5,25.0,46.48
62.0,410.0,225.5,0.55,16.4,1748.5,0.5,0.5,60.0,51.07
22.0,410.0,225.5,0.55,16.4,1748.5,0.5,0.5,25.0,47.28
