Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing",54.97
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.3
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Heat curing",43.84
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",55.82
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.5/0.5, curing = Ambient curing",56.86
"My next suggestion for an even better formulation is:

The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.49
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",39.8
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.5/0.5, curing = Ambient curing.",47.61
"My next suggestion for an even better formulation, which has not been validated before, is:

The formulation is Powderkg = 440, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",25.88
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",45.68
