Formulation,Compressive Strength
"The formulation is Powderkg = 440, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",57.27
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",61.9
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",32.59
"The formulation is Powderkg = 410, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",58.29
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",60.38
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",32.12
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",54.97
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",49.59
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",29.46
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",51.04
