Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.6/0.4, curing = Heat curing",58.06
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.52
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",58.93
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",50.93
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",22.4
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",59.86
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.5
"The formulation is Powderkg = 400, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.42
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.84
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",26.17
