Formulation,Compressive Strength
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.6/0.4, curing = Heat curing",57.37
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing",37.18
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.5/0.5, curing = Heat curing",58.98
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.2
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",58.93
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",60.68
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",27.77
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",58.53
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",56.66
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",53.2
