Formulation,Compressive Strength
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.5/0.5, curing = Heat curing",50.64
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",58.03
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.49
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.5
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",33.95
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.6
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.96
"The formulation is Powderkg = 380, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",51.4
"The formulation is Powderkg = 370, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",54.32
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.5
