Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing",54.97
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.95
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",26.95
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",27.73
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",51.22
"The formulation is Powderkg = 440, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",57.27
"Based on the previous results and the information provided, I suggest the following formulation:

The formulation is Powderkg = 380, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",52.46
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.78
"As per your request, here is a unique formulation suggestion that has not been validated before:

The formulation is Powderkg = 450, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",35.2
"I apologize for the repetition. Here is a unique and previously untested suggestion:

The formulation is Powderkg = 380, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",47.91
