Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = heat curing",54.97
"The formulation is Powderkg = 390, wc = 0.55, materials = 0.6/0.4, curing = heat curing",56.19
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = heat curing",43.84
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = ambient curing",50.43
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.5/0.5, curing = heat curing.",52.42
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.7/0.3, curing = ambient curing.",36.69
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.6/0.4, curing = heat curing.",57.12
"The formulation is Powderkg = 410, wc = 0.45, materials = 0.7/0.3, curing = heat curing.",40.59
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.5/0.5, curing = heat curing.",53.79
"Certainly! Here's a unique suggestion for a concrete formulation that has not been validated before:

The formulation is Powderkg = 380, wc = 0.5, materials = 0.6/0.4, curing = ambient curing.",47.91
