Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Heat curing",43.35
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",50.64
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.27
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.19
"Based on the previous suggestions and considering the design knowledge, I predict the following formulation that has not been validated before:

The formulation is Powderkg = 440, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",55.82
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.43
"Based on the current information and to provide a unique suggestion, I predict the following formulation:

The formulation is Powderkg = 370, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",61.22
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.4
"Based on your request for a unique and unvalidated suggestion, I predict the following formulation:

The formulation is Powderkg = 450, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",35.2
"Based on your request for a unique and unvalidated suggestion, I predict the following formulation:

The formulation is Powderkg = 360, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",55.57
