Formulation,Compressive Strength
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",32.12
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",58.03
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",60.38
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",29.46
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.5/0.5, curing = Ambient curing.",55.85
"Based on the previous results and in order to provide a unique and unvalidated suggestion, the next formulation that is expected to reach the maximum compressive strength is:

The formulation is Powderkg = 410, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",55.78
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.66
"The formulation is Powderkg = 390, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",52.0
"Sure! Based on the previous results, a unique and unvalidated suggestion for a formulation that could potentially result in an even higher compressive strength could be:

The formulation is Powderkg = 410, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",26.95
"Sure! Based on the previous results, a unique and unvalidated suggestion for a formulation that could potentially result in an even higher compressive strength could be:

The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.84
