Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Heat curing",43.35
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing",51.22
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.78
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",53.96
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",60.18
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",26.17
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",54.31
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.66
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",27.16
