Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Heat curing",43.35
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",46.01
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.5/0.5, curing = Ambient curing.",46.48
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",32.12
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.61
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",33.81
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",54.38
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",60.68
"The formulation is Powderkg = 390, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",52.0
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.28
