Formulation,Compressive Strength
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",58.93
"The formulation is Powderkg = 410, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",58.24
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.49
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",59.86
"Taking into consideration your requirement for a unique and unvalidated formulation, my suggestion is as follows:

The formulation is Powderkg = 400, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",32.12
"Apologies for the misunderstanding. Here is a new suggestion that has not been validated before:

The formulation is Powderkg = 430, wc = 0.6, materials = 0.5/0.5, curing = Ambient curing.",47.59
"Apologies for the misunderstanding. Here is a new unique suggestion that has not been validated before:

The formulation is Powderkg = 440, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",57.27
"Certainly! Here is a unique suggestion for your next formulation that has not been validated before:

The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",29.46
"Certainly! Here is a new unique suggestion for your next formulation that has not been validated before:

The formulation is Powderkg = 380, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",59.98
"Certainly! Here is a new and unique suggestion for your next formulation that has not been validated before:

The formulation is Powderkg = 420, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",56.64
