Formulation,Compressive Strength
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.6/0.4, curing = Heat curing",57.37
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = Heat curing",44.18
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",54.97
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",49.59
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",41.15
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",26.95
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",49.44
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",49.83
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.84
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",27.16
