Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.7/0.3, curing = Heat curing",38.63
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.51
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.41
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",28.65
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",60.18
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",51.04
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",35.2
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",38.27
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.49
