;1st;2nd;3rd;4th;5th;6th;7th;8th;9th;10th
gpt-3.5-turbo, Context. Qual.: None, Temp.: 0.0, Increased TT: 0;43,42;58,66;60,08;60,08;60,08;60,08;60,08;60,08;60,08;60,52
gpt-3.5-turbo, Context. Qual.: None, Temp.: 0.0, Increased TT: 1;51,13;54,96;57,98;58,0;58,0;60,9;61,22;61,37;62,0;62,0
gpt-3.5-turbo, Context. Qual.: None, Temp.: 0.7, Increased TT: 0;40,27;53,77;55,28;55,28;56,38;57,87;58,2;58,56;58,64;58,64
gpt-3.5-turbo, Context. Qual.: None, Temp.: 0.7, Increased TT: 1;47,65;56,91;59,54;60,4;60,6;60,91;61,07;62,01;62,05;62,5
gpt-4-1106-preview, Context. Qual.: None, Temp.: 0.0, Increased TT: 0;53,04;56,4;59,48;59,91;59,91;;;;;
gpt-4-1106-preview, Context. Qual.: None, Temp.: 0.7, Increased TT: 0;52,58;57,76;58,79;58,79;58,92;;;;;
gpt-3.5-turbo, Context. Qual.: Generic, Temp.: 0.0, Increased TT: 0;56,6;60,17;60,17;60,17;60,52;60,52;61,19;61,19;61,19;61,19
gpt-3.5-turbo, Context. Qual.: Generic, Temp.: 0.0, Increased TT: 1;54,27;60,13;61,81;62,74;63,36;64,1;64,42;64,44;64,45;64,5
gpt-3.5-turbo, Context. Qual.: Generic, Temp.: 0.7, Increased TT: 0;56,75;60,27;60,63;60,63;61,1;61,55;61,76;61,76;61,76;61,87
gpt-3.5-turbo, Context. Qual.: Generic, Temp.: 0.7, Increased TT: 1;52,15;58,76;60,13;61,25;61,84;61,99;62,97;63,02;63,44;63,65
gpt-4-1106-preview, Context. Qual.: Generic, Temp.: 0.0, Increased TT: 0;56,71;58,24;58,24;58,28;58,72;;;;;
gpt-4-1106-preview, Context. Qual.: Generic, Temp.: 0.7, Increased TT: 0;56,71;58,15;58,61;58,92;58,98;;;;;
gpt-3.5-turbo, Context. Qual.: Specific, Temp.: 0.0, Increased TT: 0;60,18;61,59;62,29;62,29;62,29;62,29;62,29;62,29;62,29;62,29
gpt-3.5-turbo, Context. Qual.: Specific, Temp.: 0.0, Increased TT: 1;64,44;64,44;64,44;64,44;64,44;64,44;64,47;64,47;64,47;64,47
gpt-3.5-turbo, Context. Qual.: Specific, Temp.: 0.7, Increased TT: 0;61,33;62,11;62,11;62,11;62,33;62,33;62,4;62,4;62,69;62,8
gpt-3.5-turbo, Context. Qual.: Specific, Temp.: 0.7, Increased TT: 1;64,0;64,0;64,02;64,05;64,14;64,14;64,14;64,15;64,17;64,19
gpt-4-1106-preview, Context. Qual.: Specific, Temp.: 0.0, Increased TT: 0;62,09;62,09;62,09;62,09;63,28;;;;;
gpt-4-1106-preview, Context. Qual.: Specific, Temp.: 0.7, Increased TT: 0;62,09;62,37;62,54;62,67;63,75;;;;;
Baseline Method: BO;55,26;57,5;58,63;59,76;59,99;60,17;60,18;60,2;60,21;60,33
Baseline Method: RF;52,5;54,75;57,06;59,01;60,73;61,43;62,23;62,5;62,7;63,16
Baseline Method: RP;48,57;54,85;56,19;57,86;59,33;60,13;60,13;60,13;60,13;60,13
