Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
19.0,400.0,240.0,0.6,16.0,1744.0,0.5,0.5,25.0,47.28
73.0,440.0,220.0,0.5,17.6,1724.0,0.5,0.5,60.0,62.65
94.0,390.0,214.5,0.55,15.6,1779.5,0.6,0.4,25.0,45.75
72.0,440.0,198.0,0.45,17.6,1746.0,0.5,0.5,60.0,55.78
65.0,420.0,210.0,0.5,16.8,1754.0,0.5,0.5,60.0,64.28
141.0,410.0,205.0,0.5,16.4,1769.0,0.6,0.4,60.0,61.51
69.0,430.0,215.0,0.5,17.2,1739.0,0.5,0.5,60.0,63.47
25.0,420.0,210.0,0.5,16.8,1754.0,0.5,0.5,25.0,60.38
70.0,430.0,236.5,0.55,17.2,1717.5,0.5,0.5,60.0,51.92
41.0,360.0,180.0,0.5,14.4,1844.0,0.5,0.5,60.0,65.26
