Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
16.0,400.0,180.0,0.45,16.0,1804.0,0.5,0.5,25.0,56.36
133.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,60.0,59.86
45.0,370.0,185.0,0.5,14.8,1829.0,0.5,0.5,60.0,65.09
138.0,400.0,220.0,0.55,16.0,1764.0,0.6,0.4,60.0,57.12
83.0,360.0,216.0,0.6,14.4,1808.0,0.6,0.4,25.0,43.38
4.0,370.0,166.5,0.45,14.8,1847.5,0.5,0.5,25.0,55.62
7.0,370.0,222.0,0.6,14.8,1792.0,0.5,0.5,25.0,46.84
42.0,360.0,198.0,0.55,14.4,1826.0,0.5,0.5,60.0,53.39
49.0,380.0,190.0,0.5,15.2,1814.0,0.5,0.5,60.0,64.93
125.0,370.0,185.0,0.5,14.8,1829.0,0.6,0.4,60.0,58.2
9.0,380.0,190.0,0.5,15.2,1814.0,0.5,0.5,25.0,59.98
41.0,360.0,180.0,0.5,14.4,1844.0,0.5,0.5,60.0,65.26
