Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
134.0,390.0,214.5,0.55,15.6,1779.5,0.6,0.4,60.0,56.19
114.0,440.0,242.0,0.55,17.6,1702.0,0.6,0.4,25.0,42.91
84.0,370.0,166.5,0.45,14.8,1847.5,0.6,0.4,25.0,42.95
54.0,390.0,214.5,0.55,15.6,1779.5,0.5,0.5,60.0,52.0
120.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,60.0,55.57
146.0,420.0,231.0,0.55,16.8,1733.0,0.6,0.4,60.0,58.93
143.0,410.0,246.0,0.6,16.4,1728.0,0.6,0.4,60.0,55.78
144.0,420.0,189.0,0.45,16.8,1775.0,0.6,0.4,60.0,58.8
147.0,420.0,252.0,0.6,16.8,1712.0,0.6,0.4,60.0,56.64
153.0,440.0,220.0,0.5,17.6,1724.0,0.6,0.4,60.0,61.61
69.0,430.0,215.0,0.5,17.2,1739.0,0.5,0.5,60.0,63.47
73.0,440.0,220.0,0.5,17.6,1724.0,0.5,0.5,60.0,62.65
70.0,430.0,236.5,0.55,17.2,1717.5,0.5,0.5,60.0,51.92
68.0,430.0,193.5,0.45,17.2,1760.5,0.5,0.5,60.0,56.66
