Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
197.0,450.0,225.0,0.5,18.0,1709.0,0.7,0.3,25.0,38.96
115.0,440.0,264.0,0.6,17.6,1680.0,0.6,0.4,25.0,46.01
93.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,25.0,48.75
54.0,390.0,214.5,0.55,15.6,1779.5,0.5,0.5,60.0,52.0
42.0,360.0,198.0,0.55,14.4,1826.0,0.5,0.5,60.0,53.39
64.0,420.0,189.0,0.45,16.8,1775.0,0.5,0.5,60.0,57.54
20.0,410.0,184.5,0.45,16.4,1789.5,0.5,0.5,25.0,56.62
76.0,450.0,202.5,0.45,18.0,1731.5,0.5,0.5,60.0,54.97
24.0,420.0,189.0,0.45,16.8,1775.0,0.5,0.5,25.0,56.86
140.0,410.0,184.5,0.45,16.4,1789.5,0.6,0.4,60.0,58.29
200.0,360.0,162.0,0.45,14.4,1862.0,0.7,0.3,60.0,41.53
144.0,420.0,189.0,0.45,16.8,1775.0,0.6,0.4,60.0,58.8
120.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,60.0,55.57
108.0,430.0,193.5,0.45,17.2,1760.5,0.6,0.4,25.0,46.01
