Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.7/0.3, curing = Heat curing",31.67
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing",51.22
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.5/0.5, curing = Heat curing",56.66
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",22.4
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",54.38
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.52
"The formulation is Powderkg = 380, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",51.4
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",44.21
"The formulation is Powderkg = 370, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",42.72
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.5/0.5, curing = Ambient curing.",48.14
