Formulation,Compressive Strength
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",61.95
"The formulation is Powderkg = 440, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing",34.86
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.5/0.5, curing = Heat curing",54.38
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.5
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.5
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.5/0.5, curing = Ambient curing.",48.14
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",57.2
"The formulation is Powderkg = 380, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.5
"The formulation is Powderkg = 370, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",58.2
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",29.46
