Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.7/0.3, curing = Heat curing",31.67
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",59.23
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",56.64
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",35.76
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",50.69
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.11
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",57.12
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.03
"My next suggestion for an even better formulation is:
The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.6
