Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing",50.43
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.7/0.3, curing = Heat curing",39.8
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.5/0.5, curing = Ambient curing",46.48
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",62.29
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",33.95
"The formulation is Powderkg = 400, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",27.44
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",36.69
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",60.18
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",31.67
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",54.31
