Formulation,Compressive Strength
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing",48.75
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.7/0.3, curing = Heat curing",40.41
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.5/0.5, curing = Heat curing",62.65
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.6/0.4, curing = Heat curing",55.78
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.7/0.3, curing = Heat curing",32.12
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing",26.01
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",45.88
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.5/0.5, curing = Heat curing",64.43
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",41.85
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.11
