Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
129.0,380.0,190.0,0.5,15.2,1814.0,0.6,0.4,60.0,59.03
119.0,450.0,270.0,0.6,18.0,1664.0,0.6,0.4,25.0,45.68
233.0,440.0,220.0,0.5,17.6,1724.0,0.7,0.3,60.0,44.18
197.0,450.0,225.0,0.5,18.0,1709.0,0.7,0.3,25.0,38.96
18.0,400.0,220.0,0.55,16.0,1764.0,0.5,0.5,25.0,48.14
123.0,360.0,216.0,0.6,14.4,1808.0,0.6,0.4,60.0,51.22
114.0,440.0,242.0,0.55,17.6,1702.0,0.6,0.4,25.0,42.91
128.0,380.0,171.0,0.45,15.2,1833.0,0.6,0.4,60.0,56.66
147.0,420.0,252.0,0.6,16.8,1712.0,0.6,0.4,60.0,56.64
224.0,420.0,189.0,0.45,16.8,1775.0,0.7,0.3,60.0,40.41
