Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
166.0,370.0,203.5,0.55,14.8,1810.5,0.7,0.3,25.0,30.27
163.0,360.0,216.0,0.6,14.4,1808.0,0.7,0.3,25.0,25.71
194.0,440.0,242.0,0.55,17.6,1702.0,0.7,0.3,25.0,25.88
123.0,360.0,216.0,0.6,14.4,1808.0,0.6,0.4,60.0,51.22
200.0,360.0,162.0,0.45,14.4,1862.0,0.7,0.3,60.0,41.53
161.0,360.0,180.0,0.5,14.4,1844.0,0.7,0.3,25.0,36.19
59.0,400.0,240.0,0.6,16.0,1744.0,0.5,0.5,60.0,50.41
151.0,430.0,258.0,0.6,17.2,1696.0,0.6,0.4,60.0,54.31
220.0,410.0,184.5,0.45,16.4,1789.5,0.7,0.3,60.0,40.59
69.0,430.0,215.0,0.5,17.2,1739.0,0.5,0.5,60.0,63.47
